unique_id,supplier,location,date_time,day,time,measurement,today,value,units,comments
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-06T04:00:00Z,yesterday,NA,daily average withdrawals,6/7/1999,102.162,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-07T04:00:00Z,yesterday,NA,daily average withdrawals,6/8/1999,106.445,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-08T04:00:00Z,yesterday,NA,daily average withdrawals,6/9/1999,106.553,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-09T04:00:00Z,yesterday,NA,daily average withdrawals,6/10/1999,112.626,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-10T04:00:00Z,yesterday,NA,daily average withdrawals,6/11/1999,124.196,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-11T04:00:00Z,yesterday,NA,daily average withdrawals,6/12/1999,125.379,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-12T04:00:00Z,yesterday,NA,daily average withdrawals,6/13/1999,135.742,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-13T04:00:00Z,yesterday,NA,daily average withdrawals,6/14/1999,135.428,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-14T04:00:00Z,yesterday,NA,daily average withdrawals,6/15/1999,124.28,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-15T04:00:00Z,yesterday,NA,daily average withdrawals,6/16/1999,125.421,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-16T04:00:00Z,yesterday,NA,daily average withdrawals,6/17/1999,134.267,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-17T04:00:00Z,yesterday,NA,daily average withdrawals,6/18/1999,130.76,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-18T04:00:00Z,yesterday,NA,daily average withdrawals,6/19/1999,141.311,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-19T04:00:00Z,yesterday,NA,daily average withdrawals,6/20/1999,141.654,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-20T04:00:00Z,yesterday,NA,daily average withdrawals,6/21/1999,115.462,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-21T04:00:00Z,yesterday,NA,daily average withdrawals,6/22/1999,137.218,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-22T04:00:00Z,yesterday,NA,daily average withdrawals,6/23/1999,130.077,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-23T04:00:00Z,yesterday,NA,daily average withdrawals,6/24/1999,144.066,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-24T04:00:00Z,yesterday,NA,daily average withdrawals,6/25/1999,128.447,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-25T04:00:00Z,yesterday,NA,daily average withdrawals,6/26/1999,128.417,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-26T04:00:00Z,yesterday,NA,daily average withdrawals,6/27/1999,144.854,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-27T04:00:00Z,yesterday,NA,daily average withdrawals,6/28/1999,148.753,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-28T04:00:00Z,yesterday,NA,daily average withdrawals,6/29/1999,132.313,MGD,
