agency,site,date_time,flow,comments
USGS,goose,2017-07-10T00:00:00Z,142,
USGS,goose,2017-07-11T00:00:00Z,117,
USGS,goose,2017-07-12T00:00:00Z,128,
USGS,goose,2017-07-13T00:00:00Z,112,
USGS,goose,2017-07-14T00:00:00Z,150,
USGS,goose,2017-07-15T00:00:00Z,257,
USGS,goose,2017-07-16T00:00:00Z,133,
USGS,goose,2017-07-17T00:00:00Z,92.1,
USGS,goose,2017-07-18T00:00:00Z,77.5,
USGS,goose,2017-07-19T00:00:00Z,73.3,
USGS,goose,2017-07-20T00:00:00Z,74.1,
USGS,goose,2017-07-21T00:00:00Z,56.3,
USGS,goose,2017-07-22T00:00:00Z,63.4,
USGS,goose,2017-07-23T00:00:00Z,189,
USGS,goose,2017-07-24T00:00:00Z,145,
USGS,goose,2017-07-25T00:00:00Z,88.5,
USGS,goose,2017-07-26T00:00:00Z,66.4,
USGS,goose,2017-07-27T00:00:00Z,56.8,
USGS,goose,2017-07-28T00:00:00Z,113,
USGS,goose,2017-07-29T00:00:00Z,3450,
USGS,goose,2017-07-30T00:00:00Z,647,
USGS,goose,2017-07-31T00:00:00Z,338,
USGS,goose,2017-08-01T00:00:00Z,241,
USGS,goose,2017-08-02T00:00:00Z,191,
USGS,goose,2017-08-03T00:00:00Z,154,
USGS,goose,2017-08-04T00:00:00Z,155,
USGS,goose,2017-08-05T00:00:00Z,127,
USGS,goose,2017-08-06T00:00:00Z,105,
USGS,goose,2017-08-07T00:00:00Z,107,
USGS,goose,2017-08-08T00:00:00Z,134,
USGS,goose,2017-08-09T00:00:00Z,117,
USGS,goose,2017-08-10T00:00:00Z,94.4,
USGS,goose,2017-08-11T00:00:00Z,127,
USGS,goose,2017-08-12T00:00:00Z,1070,
USGS,goose,2017-08-13T00:00:00Z,697,
USGS,goose,2017-08-14T00:00:00Z,318,
USGS,goose,2017-08-15T00:00:00Z,251,
USGS,goose,2017-08-16T00:00:00Z,221,
USGS,goose,2017-08-17T00:00:00Z,181,
USGS,goose,2017-08-18T00:00:00Z,176,
USGS,goose,2017-08-19T00:00:00Z,209,
USGS,goose,2017-08-20T00:00:00Z,154,
USGS,goose,2017-08-21T00:00:00Z,121,
